train_dataset,run_id,wic_accuracy,wsd_accuracy
pilehvar,run1,0.6778571428571428,0.4706
pilehvar,run2,0.6757142857142857,0.4756
pilehvar,run3,0.6892857142857143,0.4788
pilehvar_fews5,run1,0.709,0.532
pilehvar_fews5,run2,0.6892857142857143,0.578
pilehvar_fews5,run3,0.6871428571428572,0.5454
pilehvar_fews200,run1,0.711,0.67
pilehvar_fews200,run2,0.71,0.664
pilehvar_fews200,run3,0.72,0.6618
fews5_on_pilehvar,run1,0.684,0.543
fews5_on_pilehvar,run2,0.6635714285714286,0.5306
fews5_on_pilehvar,run3,0.6785714285714286,0.5442
fews200_on_pilehvar,run1,0.694,0.68
fews200_on_pilehvar,run2,0.6857142857142857,0.6638
fews200_on_pilehvar,run3,0.6985714285714286,0.6662
combined_fews200_on_pilehvar,run1,0.7307142857142858,0.663
combined_fews200_on_pilehvar,run2,0.7007142857142857,0.658
combined_fews200_on_pilehvar,run3,0.7028571428571428,0.658
combined_fews15_on_pilehvar,run1,0.7307142857142858,0.6156
combined_fews15_on_pilehvar,run2,0.725,0.6196
combined_fews15_on_pilehvar,run3,0.7078571428571429,0.6144
fews15_on_pilehvar,run1,0.6914285714285714,0.6134
fews15_on_pilehvar,run2,0.6978571428571428,0.6046
fews15_on_pilehvar,run3,0.675,0.5928
combined_on_pilehvar,run1,0.7192857142857143,0.512
combined_on_pilehvar,run2,0.6878571428571428,0.4702
combined_on_pilehvar,run3,0.7021428571428572,0.527
random_on_pilehvar,run1,0.48714285714285716,0.2602
random_on_pilehvar,run2,0.5021428571428571,0.2534
random_on_pilehvar,run3,0.48642857142857143,0.2724
untrained_on_pilehvar,run1,0.5285714285714286,0.309
untrained_on_pilehvar,run2,0.5285714285714286,0.309
untrained_on_pilehvar,run3,0.5285714285714286,0.309
mclwic,run1,0.891,0.48
mclwic,run2,0.892,0.4844
mclwic,run3,0.884,0.4666
mclwic_fews8,run1,0.895,0.579
mclwic_fews8,run2,0.895,0.5722
mclwic_fews8,run3,0.88,0.5742
mclwic_fews200,run1,0.878,0.667
mclwic_fews200,run2,0.9,0.6658
mclwic_fews200,run3,0.896,0.6566
fews8_on_mclwic,run1,0.82,0.521
fews8_on_mclwic,run2,0.809,0.5224
fews8_on_mclwic,run3,0.859,0.5388
fews200_on_mclwic,run1,0.862,0.68
fews200_on_mclwic,run2,0.858,0.6638
fews200_on_mclwic,run3,0.859,0.6662
combined_fews200_on_mclwic,run1,0.882,0.663
combined_fews200_on_mclwic,run2,0.886,0.658
combined_fews200_on_mclwic,run3,0.886,0.658
combined_fews15_on_mclwic,run1,0.894,0.6156
combined_fews15_on_mclwic,run2,0.889,0.6196
combined_fews15_on_mclwic,run3,0.898,0.6144
fews15_on_mclwic,run1,0.867,0.6134
fews15_on_mclwic,run2,0.861,0.6046
fews15_on_mclwic,run3,0.836,0.5928
combined_on_mclwic,run1,0.917,0.512
combined_on_mclwic,run2,0.901,0.4702
combined_on_mclwic,run3,0.899,0.527
random_on_mclwic,run1,0.459,0.2602
random_on_mclwic,run2,0.488,0.2534
random_on_mclwic,run3,0.49,0.2724
untrained_on_mclwic,run1,0.653,0.309
untrained_on_mclwic,run2,0.653,0.309
untrained_on_mclwic,run3,0.653,0.309
xllexeme,run1,0.7945833333333333,0.476
xllexeme,run2,0.7841666666666667,0.4678
xllexeme,run3,0.79125,0.4722
xllexeme_fews13,run1,0.795,0.616
xllexeme_fews13,run2,0.7879166666666667,0.6042
xllexeme_fews13,run3,0.79375,0.608
xllexeme_fews200,run1,0.782,0.671
xllexeme_fews200,run2,0.7841666666666667,0.6796
xllexeme_fews200,run3,0.7791666666666667,0.656
fews13_on_xllexeme,run1,0.762,0.59
fews13_on_xllexeme,run2,0.7591666666666667,0.615
fews13_on_xllexeme,run3,0.7566666666666667,0.6092
fews200_on_xllexeme,run1,0.752,0.68
fews200_on_xllexeme,run2,0.7504166666666666,0.6638
fews200_on_xllexeme,run3,0.7608333333333334,0.6662
combined_fews200_on_xllexeme,run1,0.7929166666666667,0.663
combined_fews200_on_xllexeme,run2,0.7758333333333334,0.658
combined_fews200_on_xllexeme,run3,0.7741666666666667,0.658
combined_fews15_on_xllexeme,run1,0.79875,0.6156
combined_fews15_on_xllexeme,run2,0.78375,0.6196
combined_fews15_on_xllexeme,run3,0.79,0.6144
fews15_on_xllexeme,run1,0.7654166666666666,0.6134
fews15_on_xllexeme,run2,0.7641666666666667,0.6046
fews15_on_xllexeme,run3,0.7441666666666666,0.5928
combined_on_xllexeme,run1,0.79375,0.512
combined_on_xllexeme,run2,0.7791666666666667,0.4702
combined_on_xllexeme,run3,0.7841666666666667,0.527
random_on_xllexeme,run1,0.5183333333333333,0.2602
random_on_xllexeme,run2,0.5120833333333333,0.2534
random_on_xllexeme,run3,0.49375,0.2724
untrained_on_xllexeme,run1,0.585,0.309
untrained_on_xllexeme,run2,0.585,0.309
untrained_on_xllexeme,run3,0.585,0.309
